All,બધા
"Street Address %1","શેરી સરનામું %1"
"It's a default billing address.","તે ડિફોલ્ટ બિલિંગ સરનામું છે."
"Use as my default billing address","મારા ડિફૉલ્ટ બિલિંગ સરનામાં તરીકે ઉપયોગ કરો"
"It's a default shipping address.","તે ડિફોલ્ટ શિપિંગ સરનામું છે."
"Use as my default shipping address","મારા ડિફૉલ્ટ શિપિંગ સરનામાં તરીકે ઉપયોગ કરો"
"Go back","પાછા જાવ"
"Additional Address Entries","વધારાની સરનામાં પ્રવેશો"
"Street Address","શેરીનુ સરનામું"
Phone,ફોન
"You have no other address entries in your address book.","તમારી સરનામાં પુસ્તિકામાં તમારી પાસે કોઈ અન્ય સરનામાં એન્ટ્રીઝ નથી."
"Please enter your email below and we will send you the confirmation link.","કૃપા કરીને તમારું ઇમેઇલ નીચે દાખલ કરો અને અમે તમને પુષ્ટિકરણ લિંક મોકલીશું."
"Send confirmation link","પુષ્ટિકરણ લિંક મોકલો"
"Back to Sign In","પાછા સાઇન ઇન કરો"
"Change Email","ઈ - મેઈલ બદલો"
"Change Email and Password","ઇમેઇલ અને પાસવર્ડ બદલો"
"Current Password","અત્યારનો પાસવર્ડ"
"New Password","નવો પાસવર્ડ"
"Password Strength","પાસવર્ડ સશક્તતા"
"No Password","કોઈ પાસવર્ડ નથી"
"Confirm New Password","નવાપાસવર્ડની પુષ્ટી કરો"
"Please enter your email address below to receive a password reset link.","પાસવર્ડ ફરીથી સેટ કરો લિંક પ્રાપ્ત કરવા માટે કૃપા કરીને તમારું ઇમેઇલ સરનામું દાખલ કરો."
"Reset My Password","મારો પાસવર્ડ રીસેટ"
"Registered Customers","રજિસ્ટર્ડ ગ્રાહકો"
"If you have an account, sign in with your email address.","જો તમારી પાસે કોઈ એકાઉન્ટ છે, તો તમારા ઇમેઇલ સરનામાંથી સાઇન ઇન કરો."
"Subscription option","ઉમેદવારી વિકલ્પ"
"General Subscription","સામાન્ય સબ્સ્ક્રિપ્શન"
"Sign Up for Newsletter","સમાચાર પત્ર માટે સ્વીકૃતિ આપો"
"Address Information","સરનામાંની માહિતી"
"Please select a region, state or province.","કૃપા કરીને કોઈ પ્રદેશ, રાજ્ય અથવા પ્રાંત પસંદ કરો."
"Sign-in Information","સાઇન-ઇન માહિતી"
"Confirm Password","પાસવર્ડની પુષ્ટિ કરો"
"Create an Account","એક ખાતુ બનાવો"
"Set a New Password","નવો પાસવર્ડ સેટ કરો"
"You have signed out and will go to our homepage in 5 seconds.","તમે સાઇન આઉટ કર્યું છે અને 5 સેકંડમાં અમારા હોમપેજ પર જશો."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","આ એકાઉન્ટ પુષ્ટિ થયેલ નથી. પુષ્ટિ ઇમેઇલને ફરીથી મોકલવા માટે <a href=""%1""> અહીં ક્લિક કરો </a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","આ ઇમેઇલ સરનામાં સાથે પહેલેથી જ એક એકાઉન્ટ છે. જો તમને ખાતરી છે કે તમારું ઇમેઇલ સરનામું છે, તો તમારો પાસવર્ડ મેળવવા અને તમારા એકાઉન્ટને ઍક્સેસ કરવા માટે <a href=""%1""> અહીં ક્લિક કરો </a>."
"New Customers","નવા ગ્રાહકો"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","એકાઉન્ટ બનાવવું એ ઘણા ફાયદા છે: ઝડપી તપાસો, એક કરતાં વધુ સરનામાં રાખો, ઑર્ડરને ટ્રૅક કરો અને વધુ."
Company,કંપની
Fax,ફેક્સ
"Welcome to %store_name","%store_name માં આપનું સ્વાગત છે"
"Welcome to %store_name.","%store_name માં આપનું સ્વાગત છે."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","અમારી સાઇટ પર સાઇન ઇન કરવા માટે, ચેકઆઉટ દરમિયાન અથવા <a href=""%customer_url""> મારું એકાઉન્ટ </a> પૃષ્ઠ પર આ ઓળખપત્રોનો ઉપયોગ કરો:"
Email:,ઇમેઇલ:
Password:,પાસવર્ડ:
"Password you set when creating account","એકાઉન્ટ બનાવતી વખતે તમે સેટ કરેલ પાસવર્ડ"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","તમારું ખાતું પાસવર્ડ ભૂલી ગયો? તેને ફરીથી સેટ કરવા માટે <a href=""%reset_url""> અહીં </a> ક્લિક કરો."
"When you sign in to your account, you will be able to:","જ્યારે તમે તમારા એકાઉન્ટમાં સાઇન ઇન કરો છો, ત્યારે તમે આ કરી શકશો:"
"Proceed through checkout faster","ઝડપી ચેકઆઉટ દ્વારા આગળ વધો"
"Check the status of orders","ઓર્ડરની સ્થિતિ તપાસો"
"View past orders","ભૂતકાળના આદેશો જુઓ"
"Store alternative addresses (for shipping to multiple family members and friends)","વૈકલ્પિક સરનામાંઓ સ્ટોર કરો (બહુવિધ કૌટુંબિક સભ્યો અને મિત્રોને શિપિંગ માટે)"
"Please confirm your %store_name account","કૃપા કરીને તમારા %store_name એકાઉન્ટની પુષ્ટિ કરો"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","તમે સાઇન ઇન કરી શકો તે પહેલાં તમારે તમારા %customer_email ઇમેઇલની પુષ્ટિ કરવી આવશ્યક છે (લિંક ફક્ત એકવાર માન્ય છે):"
"Confirm Your Account","તમારા એકાઉન્ટની પુષ્ટિ કરો"
"Thank you for confirming your %store_name account.","તમારા %store_name ખાતાની ખાતરી કરવા બદલ આભાર."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","અમારી સાઇટ પર સાઇન ઇન કરવા અને પાસવર્ડ સેટ કરવા માટે, <a href=""%create_password_url""> લિંક </a> પર ક્લિક કરો:"
"Your %store_name email has been changed","તમારું %store_name ઇમેઇલ બદલવામાં આવ્યું છે"
"We have received a request to change the following information associated with your account at %store_name: email.","અમને તમારા એકાઉન્ટ સાથે સંકળાયેલ નીચેની માહિતી %store_name: ઇમેઇલ પર બદલવાની વિનંતી પ્રાપ્ત થઈ છે."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","જો તમે આ ક્રિયાને અધિકૃત કરી નથી, તો કૃપા કરીને <a href=""mailto:%store_email"">%store_email </a> પર તરત જ અમારો સંપર્ક કરો."
"Your %store_name email and password has been changed","તમારું %store_name ઇમેઇલ અને પાસવર્ડ બદલવામાં આવ્યું છે"
"We have received a request to change the following information associated with your account at %store_name: email, password.","અમને તમારા એકાઉન્ટ સાથે સંકળાયેલ નીચેની માહિતી %store_name: ઇમેઇલ, પાસવર્ડ પર બદલવાની વિનંતી પ્રાપ્ત થઈ છે."
"Reset your %store_name password","તમારા %store_name પાસવર્ડને ફરીથી સેટ કરો"
"There was recently a request to change the password for your account.","તાજેતરમાં તમારા એકાઉન્ટ માટે પાસવર્ડ બદલવાની વિનંતી કરવામાં આવી હતી."
"If you requested this change, set a new password here:","જો તમે આ ફેરફારની વિનંતી કરી છે, તો અહીં એક નવો પાસવર્ડ સેટ કરો:"
"If you did not make this request, you can ignore this email and your password will remain the same.","જો તમે આ વિનંતી કરી નથી, તો તમે આ ઇમેઇલને અવગણી શકો છો અને તમારો પાસવર્ડ જ રહેશે."
"Your %store_name password has been changed","તમારો %store_name પાસવર્ડ બદલવામાં આવ્યો છે"
"We have received a request to change the following information associated with your account at %store_name: password.","અમને તમારા એકાઉન્ટ સાથે સંકળાયેલ નીચેની માહિતી %store_name: password પર બદલવાની વિનંતી પ્રાપ્ત થઈ છે."
"Checkout as a new customer","નવા ગ્રાહક તરીકે ચેકઆઉટ"
"Creating an account has many benefits:","એકાઉન્ટ બનાવવું એ ઘણા ફાયદા છે:"
"See order and shipping status","ઓર્ડર અને શિપિંગ સ્થિતિ જુઓ"
"Track order history","ટ્રેક ઓર્ડર ઇતિહાસ"
"Check out faster","ઝડપી તપાસો"
"Checkout using your account","તમારા એકાઉન્ટનો ઉપયોગ કરીને Checkout"
"Are you sure you want to delete this address?","શું તમે ખરેખર આ સરનામું કાઢી નાખવા માંગો છો?"
Weak,નબળું
Medium,મધ્યમ
Strong,મજબૂત
"Very Strong","એકદમ મજબુત"
"All Customers","બધા ગ્રાહકો"
"Now Online","હવે ઑનલાઇન"
"Customers Section","ગ્રાહકો વિભાગ"
"Customer Configuration","ગ્રાહક રૂપરેખાંકન"
"Account Sharing Options","એકાઉન્ટ શેરિંગ વિકલ્પો"
"Share Customer Accounts","ગ્રાહક એકાઉન્ટ્સ શેર કરો"
"Create New Account Options","નવું ખાતું વિકલ્પો બનાવો"
"Enable Automatic Assignment to Customer Group","ગ્રાહક જૂથમાં સ્વચાલિત સોંપણી સક્ષમ કરો"
"Tax Calculation Based On","કર આધારિત ગણતરી"
"Default Group","ડિફોલ્ટ ગ્રુપ"
"Group for Valid VAT ID - Domestic","માન્ય વેટ ID માટે જૂથ - ઘરેલું"
"Group for Valid VAT ID - Intra-Union","માન્ય વેટ આઈડી માટે જૂથ - ઇન્ટ્રા-યુનિયન"
"Group for Invalid VAT ID","અમાન્ય VAT ID માટે જૂથ"
"Validation Error Group","માન્યતા ભૂલ જૂથ"
"Validate on Each Transaction","દરેક ટ્રાંઝેક્શન પર માન્ય કરો"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID પર આધારીત સ્વચાલિત જૂથ પરિવર્તનોને અક્ષમ કરવા માટેનું ડિફૉલ્ટ મૂલ્ય"
"Show VAT Number on Storefront","Storefront પર VAT નંબર બતાવો"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","સ્ટોરફ્રન્ટ પર VAT નંબર બતાવવા માટે, સ્ટોરફ્રન્ટ વિકલ્પ પર VAT પર નંબર બતાવો પર સેટ કરો."
"Default Welcome Email","મૂળભૂત સ્વાગત ઇમેઇલ"
"Default Welcome Email Without Password","પાસવર્ડ વિના મૂળભૂત સ્વાગત ઇમેઇલ"
"Require Emails Confirmation","ઇમેઇલ પુષ્ટિ જરૂરી છે"
"Confirmation Link Email","પુષ્ટિ લિંક ઇમેઇલ"
"Welcome Email","સ્વાગત ઇમેઇલ"
"Generate Human-Friendly Customer ID","માનવ-મૈત્રીપૂર્ણ ગ્રાહક ID જનરેટ કરો"
"Password Options","પાસવર્ડ વિકલ્પો"
"Forgot Email Template","ઇમેઇલ ઢાંચો ભૂલી ગયા છો"
"Remind Email Template","ઇમેઇલ ઢાંચો રીમાઇન્ડ"
"Reset Password Template","પાસવર્ડ ઢાંચો ફરીથી સેટ કરો"
"Password Template Email Sender","પાસવર્ડ ઢાંચો ઇમેઇલ પ્રેષક"
"Recovery Link Expiration Period (hours)","પુનઃપ્રાપ્તિ લિંક સમાપ્તિ સમયગાળો (કલાકો)"
"Please enter a number 1 or greater in this field.","કૃપા કરીને આ ક્ષેત્રમાં કોઈ સંખ્યા 1 અથવા વધુ દાખલ કરો."
"Number of Required Character Classes","આવશ્યક કેરેક્ટર વર્ગોની સંખ્યા"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","પાસવર્ડમાં જરૂરી વિવિધ પાત્ર વર્ગોની સંખ્યા: લોઅરકેસ, અપરકેસ, ડિજિટ્સ, વિશિષ્ટ અક્ષરો."
"Minimum Password Length","ન્યૂનતમ પાસવર્ડ લંબાઈ"
"Maximum Login Failures to Lockout Account","લૉકઆઉટ એકાઉન્ટમાં મહત્તમ લૉગિન નિષ્ફળતા"
"Use 0 to disable account locking.","એકાઉન્ટ લૉકિંગને અક્ષમ કરવા માટે 0 નો ઉપયોગ કરો."
"Lockout Time (minutes)","લોકઆઉટ સમય (મિનિટ)"
"Enable Autocomplete on login/forgot password forms","લૉગિન પર સ્વતઃપૂર્ણ સક્ષમ કરો / પાસવર્ડ સ્વરૂપો ભૂલી ગયા છો"
"Account Information Options","એકાઉન્ટ માહિતી વિકલ્પો"
"Change Email Template","ઇમેઇલ ઢાંચો બદલો"
"Change Email and Password Template","ઇમેઇલ અને પાસવર્ડ ઢાંચો બદલો"
"Name and Address Options","નામ અને સરનામું વિકલ્પો"
"Number of Lines in a Street Address","શેરી સરનામાંમાં લાઇન્સની સંખ્યા"
"Show Prefix","ઉપસર્ગ બતાવો"
"The title that goes before name (Mr., Mrs., etc.)","નામ જે પહેલાં જાય છે (શ્રી, શ્રીમતી, વગેરે)"
"Prefix Dropdown Options","ઉપસર્ગ ડ્રોપડાઉન વિકલ્પો"
"Show Middle Name (initial)","મધ્ય નામ બતાવો (પ્રારંભિક)"
"Always optional.","હંમેશા વૈકલ્પિક."
"Show Suffix","ઉપસર્ગ બતાવો"
"The suffix that goes after name (Jr., Sr., etc.)","ઉપસર્ગ જે નામ પછી જાય છે (જુનિયર, અધ્યક્ષ, વગેરે)"
"Suffix Dropdown Options","Suffix નીચે આવતા વિકલ્પો"
"Show Date of Birth","જન્મ તારીખ બતાવો"
"Show Tax/VAT Number","કર / વેટ નંબર બતાવો"
"Show Gender","જાતિ બતાવો"
"Show Telephone","ટેલિફોન બતાવો"
"Show Company","કંપની બતાવો"
"Show Fax","ફેક્સ બતાવો"
"Login Options","લૉગિન વિકલ્પો"
"Redirect Customer to Account Dashboard after Logging in","લોગ ઇન કર્યા પછી ગ્રાહકને એકાઉન્ટ ડેશબોર્ડ પર રીડાયરેક્ટ કરો"
"Customer will stay on the current page if ""No"" is selected.","જો ""ના"" પસંદ કરવામાં આવે તો ગ્રાહક વર્તમાન પૃષ્ઠ પર રહેશે."
"Address Templates","સરનામું નમૂનાઓ"
"Online Customers Options","ઑનલાઇન ગ્રાહકો વિકલ્પો"
"Online Minutes Interval","ઑનલાઇન મિનિટ અંતરાલ"
"Leave empty for default (15 minutes).","ડિફૉલ્ટ (15 મિનિટ) માટે ખાલી છોડો."
"Customer Notification","ગ્રાહક સૂચના"
"Assign a Customer Group","ગ્રાહક જૂથ સોંપવું"
"Customer Grid","ગ્રાહક ગ્રીડ"
"Rebuild Customer grid index","ગ્રાહક ગ્રીડ અનુક્રમણિકા ફરીથી બનાવો"
"Middle Name/Initial","મધ્ય નામ / પ્રારંભિક"
"VAT Number","વેટ નંબર"
"Delete items","વસ્તુઓ કાઢી નાખો"
Group,ગ્રુપ
"Add New Customer","નવું ગ્રાહક ઉમેરો"
"Are you sure you want to delete the selected customers?","શું તમે ખરેખર પસંદ કરેલા ગ્રાહકોને કાઢી નાખવા માંગો છો?"
"Subscribe to Newsletter","ન્યૂઝલેટર સબ્સ્ક્રાઇબ કરો"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","શું તમે ખરેખર પસંદ કરેલા ગ્રાહકોને ન્યૂઝલેટરમાંથી અનસબ્સ્ક્રાઇબ કરવા માંગો છો?"
"Unsubscribe from Newsletter","ન્યૂઝલેટરમાંથી અનસબ્સ્ક્રાઇબ કરો"
ZIP,ઝીપ
"Customer Since","ત્યારથી ગ્રાહક"
"Confirmed email","પુષ્ટિ ઇમેઇલ"
"Account Created in","એકાઉન્ટ બનાવ્યું"
"Tax VAT Number","કર વેટ નંબર"
Gender,જાતિ
"Billing Firstname","બિલિંગ ફર્સ્ટનેમ"
"Billing Lastname","બિલિંગ છેલ્લું નામ"
"Account Lock","એકાઉન્ટ લૉક"
"Last Activity","છેલ્લી પ્રવૃત્તિ"
"Customer Information","ગ્રાહક માહિતી"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","જો તમારી Magento ઇન્સ્ટોલેશનમાં બહુવિધ વેબસાઇટ્સ હોય, તો તમે ગ્રાહકને ચોક્કસ સાઇટ સાથે સાંકળવા માટે સ્કોપને સંપાદિત કરી શકો છો."
"Disable Automatic Group Change Based on VAT ID","VAT ID પર આધારીત સ્વચાલિત જૂથ પરિવર્તનને અક્ષમ કરો"
"Send Welcome Email From","સ્વાગત ઇમેઇલ મોકલો"
Addresses,સરનામાંઓ
"Edit Account Information","એકાઉન્ટ માહિતી સંપાદિત કરો"
"Password forgotten","પાસવર્ડ ભૂલી ગયા છો"
"You are signed out","તમે સાઇન આઉટ થયા છો"
"Default Label","ડિફોલ્ટ લેબલ"
"Default label","ડિફોલ્ટ લેબલ"
"Values Required","મૂલ્યો આવશ્યક છે"
"Decimal Number","દશાંશ નંબર"
"Integer Number","પૂર્ણાંક નંબર"
Letters,અક્ષરો
"Letters (a-z, A-Z) or Numbers (0-9)","લેટર્સ (એ-ઝેડ, એ-ઝેડ) અથવા સંખ્યાઓ (0-9)"
"Input type ""%value%"" not found in the input types list.","ઇનપુટ પ્રકાર ""%value%"" ઇનપુટ પ્રકારો સૂચિમાં મળ્યું નથી."
"Attribute object is undefined","લક્ષણ objectબ્જેક્ટ અસ્પષ્ટ છે"
"Entity object is undefined","એન્ટિટી objectબ્જેક્ટ અસ્પષ્ટ છે"
"""%1"" invalid type entered.","""%1"" અમાન્ય પ્રકાર દાખલ કર્યો."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" માં બિન-આલ્ફાબેટીક અથવા ન nonન્યુમેરિક અક્ષરો શામેલ છે."
"""%1"" is an empty string.","""%1"" એ ખાલી શબ્દમાળા છે."
"""%1"" contains non-numeric characters.","""%1"" માં અ-આંકડાકીય અક્ષરો શામેલ છે."
"""%1"" contains non-alphabetic characters.","""%1"" માં મૂળાક્ષર સિવાયના અક્ષરો શામેલ છે."
"""%1"" is not a valid email address.","""%1"" એ માન્ય ઇમેઇલ સરનામું નથી."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' એ IP સરનામાં જેવો દેખાય છે, જે સ્વીકાર્ય બંધારણ નથી."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' એ DNS હોસ્ટનામ જેવું લાગે છે પરંતુ તેમાં અમાન્ય સ્થિતિમાં ડેશ શામેલ છે."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' એ DNS હોસ્ટનામ જેવું લાગે છે પરંતુ અમે તેને TLD '%tld%' માટેના હોસ્ટનામ સ્કીમાથી મેચ કરી શકતા નથી."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' એ DNS હોસ્ટનામ જેવું લાગે છે પરંતુ TLD ભાગ કાઢી શકતું નથી."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' સ્થાનિક નેટવર્ક નામ જેવું લાગે છે, જે સ્વીકાર્ય બંધારણ નથી."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' એ DNS હોસ્ટનામ તરીકે દેખાય છે, પરંતુ આપેલ પાયકોડ સંકેતને ડીકોડ કરી શકાતા નથી."
"""%1"" is not a valid URL.","""%1"" માન્ય URL નથી."
"""%1"" does not fit the entered date format.","""%1"" દાખલ કરેલ તારીખ ફોર્મેટમાં ફિટ નથી."
"""%1"" is a required value.","""%1"" એ આવશ્યક મૂલ્ય છે."
"Please enter a valid date between %1 and %2 at %3.","કૃપા કરીને%3 થી%1 અને%2 ની વચ્ચે માન્ય તારીખ દાખલ કરો."
"Please enter a valid date equal to or greater than %1 at %2.","કૃપા કરીને%2 પર%1 ની બરાબર અથવા મોટી માન્ય તારીખ દાખલ કરો."
"Please enter a valid date less than or equal to %1 at %2.","કૃપા કરીને%2 કરતા%1 કરતા ઓછી અથવા તેના સમાન માન્ય તારીખ દાખલ કરો."
"""%1"" is not a valid file extension.","""%1"" એ માન્ય ફાઇલ એક્સ્ટેંશન નથી."
"""%1"" exceeds the allowed file size.","""%1"" માન્ય ફાઇલ કદને વટાવી ગયું."
"""%1"" is not a valid image format","""%1"" માન્ય ઇમેજ ફોર્મેટ નથી"
"""%1"" width exceeds allowed value of %2 px.","""%1"" પહોળાઈ %2 પીએક્સની માન્ય કિંમત કરતાં વધુ છે."
"""%1"" height exceeds allowed value of %2 px.","""%1"" ઊંચાઈ %2 પીએક્સની માન્ય કિંમત કરતાં વધુ છે."
"""%1"" cannot contain more than %2 lines.","""%1"" માં %2 થી વધુ લીટીઓ હોઈ શકતી નથી."
"""%1"" length must be equal or greater than %2 characters.","""%1"" લંબાઈ %2 અક્ષરો કરતા બરાબર અથવા મોટી હોવી આવશ્યક છે."
"""%1"" length must be equal or less than %2 characters.","""%1"" લંબાઈ સમાન અથવા %2 અક્ષરો કરતા ઓછી હોવી જોઈએ."
"Invalid entity_type specified: %1","અમાન્ય એન્ટિટી_ પ્રકાર ઉલ્લેખિત:%1"
"Entity is not initialized","એન્ટિટી પ્રારંભ થયેલ નથી"
"Unique constraint violation found","અનન્ય પ્રતિબંધનું ઉલ્લંઘન મળ્યું"
"The attribute code '%1' is reserved by system. Please try another attribute code","લક્ષણ કોડ '%1' સિસ્ટમ દ્વારા આરક્ષિત છે. કૃપા કરીને બીજો લક્ષણ કોડ અજમાવો"
"Source model ""%1"" not found for attribute ""%2""","""%2"" લક્ષણ ""%1"" માટે સ્રોત મોડેલ મળ્યું નથી"
"Invalid date","અમાન્ય તારીખ"
"No options found.","કોઈ વિકલ્પો મળ્યાં નથી."
"Invalid attribute identifier for filter (%1)","ફિલ્ટર માટે અમાન્ય લક્ષણ ઓળખકર્તા (%1)"
"Joint field or attribute expression with this alias is already declared","આ ઉપનામ સાથે સંયુક્ત ક્ષેત્ર અથવા લક્ષણ અભિવ્યક્તિ પહેલાથી ઘોષિત થઈ ગઈ છે"
"Invalid alias, already exists in joint attributes","અમાન્ય ઉપનામ, સંયુક્ત લક્ષણોમાં પહેલાથી અસ્તિત્વમાં છે"
"A joined field with this alias is already declared.","આ ઉપનામ સાથે જોડાયેલ ફીલ્ડ પહેલાથી ઘોષિત થઈ ચૂક્યું છે."
"Invalid joint fields","અમાન્ય સંયુક્ત ક્ષેત્રો"
"Invalid character encountered in increment ID: %1","વૃદ્ધિ ID માં અમાન્ય પાત્ર આવ્યું:%1"
"The current module pathname is undefined.","વર્તમાન મોડ્યુલ પાથનામ અસ્પષ્ટ છે."
"The current module EAV entity is undefined.","વર્તમાન મોડ્યુલ EAV એન્ટિટી અસ્પષ્ટ છે."
"The form code is not defined.","ફોર્મ કોડ વ્યાખ્યાયિત નથી."
"The entity instance is not defined.","એન્ટિટી દાખલાની વ્યાખ્યા નથી."
"Attribute with the same code","સમાન કોડ સાથેનું લક્ષણ"
"The storefront label is not defined.","સ્ટોરફ્રન્ટ લેબલ નિર્ધારિત નથી."
"Attribute group with same code already exist. Please rename ""%1"" group","સમાન કોડ સાથેનું લક્ષણ જૂથ પહેલેથી જ અસ્તિત્વમાં છે. કૃપા કરીને ""%1"" જૂથનું નામ બદલો"
"Form Element with the same attribute","સમાન લક્ષણ સાથે ફોર્મ એલિમેન્ટ"
"Form Fieldset with the same code","સમાન કોડ સાથે ફોર્મ ફીલ્ડસેટ"
"Form Type with the same code","સમાન કોડ સાથે ફોર્મ પ્રકાર"
"The value of attribute ""%1"" is invalid.","""%1"" લક્ષણનું મૂલ્ય અમાન્ય છે."
"Attribute with ID: ""%1"" does not exist","ID સાથેનું લક્ષણ: ""%1"" અસ્તિત્વમાં નથી"
"AttributeSet does not exist.","એટ્રીબ્યુટસેટ અસ્તિત્વમાં નથી."
hello,નમસ્તે
"Some internal exception message.","કેટલાક આંતરિક અપવાદ સંદેશ."
"The value of attribute not valid","લક્ષણનું મૂલ્ય માન્ય નથી"
"Text Field","ટેક્સ્ટ ફીલ્ડ"
"Text Area","ટેક્સ્ટ ક્ષેત્ર"
Date,તારીખ
Yes/No,"હા નાં"
"EAV types and attributes","ઇએવી પ્રકારો અને લક્ષણો"
"Entity types declaration cache","એન્ટિટી પ્રકારો ઘોષણા કેશ"
status,સ્થિતિ
OK,"ઠીક છે"
Export,નિકાસ
quantity,જથ્થો
Ok,"ઠીક છે"
ALL,બધા
"Credit Memos","ક્રેડિટ મેમોસ"
Orders,ઓર્ડર
Invoices,ઇન્વૉઇસેસ
"We can't get the order instance right now.","હમણાં અમે ઓર્ડરનો દાખલો મેળવી શકતા નથી."
"Create New Order","નવી ઓર્ડર બનાવો"
"Save Order Address","ઓર્ડર સરનામું સાચવો"
Billing,બિલિંગ
"Edit Order %1 %2 Address","ઑર્ડર%1%2 સરનામું સંપાદિત કરો"
"Order Address Information","ઑર્ડર સરનામાંની માહિતી"
"Please correct the parent block for this block.","કૃપા કરીને આ બ્લોક માટેના માતાપિતા બ્લોકને સુધારો."
"Submit Comment","સુંચન ભરવું"
"Submit Order","ઓર્ડર સબમિટ કરો"
"Are you sure you want to cancel this order?","શું તમે ખરેખર આ ઑર્ડરને રદ કરવા માંગો છો?"
"Order Comment","ઓર્ડર ટિપ્પણી"
Coupons,કુપન્સ
"Please select a customer","કૃપા કરીને ગ્રાહક પસંદ કરો"
"Create New Customer","નવું ગ્રાહક બનાવો"
From,પ્રતિ
To,માટે
"Edit Order #%1","ઑર્ડર #%1 સંપાદિત કરો"
"Create New Order for %1 in %2","%2 માં%1 માટે નવો ઓર્ડર બનાવો"
"Create New Order in %1","%1 માં નવું ઓર્ડર બનાવો"
"Create New Order for %1","%1 માટે નવો ઓર્ડર બનાવો"
"Create New Order for New Customer","નવા ગ્રાહક માટે નવું ઓર્ડર બનાવો"
"Items Ordered","આદેશ આપ્યો વસ્તુઓ"
"This product is disabled.","આ ઉત્પાદન અક્ષમ છે."
"Buy %1 for price %2","કિંમત%2 માટે%1 ખરીદો"
"Item ordered qty","આઇટમ આદેશ આપ્યો"
"%1 with %2 discount each","દરેક%2 ડિસ્કાઉન્ટ સાથે%1"
"%1 for %2","%2 માટે%1"
"* - Enter custom price including tax","* - કર સહિત કસ્ટમ ભાવ દાખલ કરો"
"* - Enter custom price excluding tax","* - કર બાદ બાકાત વૈવિધ્યપૂર્ણ ભાવ દાખલ કરો"
"This product does not have any configurable options","આ ઉત્પાદનમાં કોઈ રૂપરેખાંકન વિકલ્પો નથી"
"Newsletter Subscription","ન્યૂઝલેટર સબ્સ્ક્રિપ્શન"
"Please select products","કૃપા કરીને ઉત્પાદનો પસંદ કરો"
"Add Selected Product(s) to Order","ઓર્ડર માટે પસંદ કરેલ ઉત્પાદન (ઓ) ઉમેરો"
Select,"પસંદ કરો"
"Shipping Method","શીપીંગ પદ્ધતિ"
"Update Changes","ફેરફારો અપડેટ કરો"
"Are you sure you want to delete all items from shopping cart?","શું તમે ખરેખર શોપિંગ કાર્ટમાંથી બધી આઇટમ્સને કાઢી નાખવા માંગો છો?"
"Products in Comparison List","તુલના સૂચિમાં પ્રોડક્ટ્સ"
"Recently Compared Products","તાજેતરમાં સરખાવેલ પ્રોડક્ટ્સ"
"Recently Viewed Products","તાજેતરમાં જોવાયેલી પ્રોડક્ટ્સ"
"Last Ordered Items","છેલ્લી આદેશિત વસ્તુઓ"
"Wish List",વિશસૂચિ
"Please select a store","કૃપા કરીને સ્ટોર પસંદ કરો"
"Order Totals","ઓર્ડર ટોટલ્સ"
"Shipping Incl. Tax (%1)","શિપિંગ ઇક્લે. કર (%1)"
"Shipping Excl. Tax (%1)","શિપિંગ Excl. કર (%1)"
"New Credit Memo for Invoice #%1","ભરતિયું #%1 માટે નવું ક્રેડિટ મેમો"
"New Credit Memo for Order #%1","ઑર્ડર #%1 માટે નવું ક્રેડિટ મેમો"
"Refund Shipping (Incl. Tax)","રીફંડ શિપિંગ (શાખ. કર)"
"Refund Shipping (Excl. Tax)","રીફંડ શિપિંગ (એક્સક્લુસ કર)"
"Refund Shipping","રિફંડ શિપિંગ"
"Update Qty's","અપડેટ Qty ની"
Refund,"પરત કરેલી રકમ"
"Refund Offline","ઑફલાઇન રિફંડ"
"Paid Amount","ચુકવેલ રકમ"
"Refund Amount","પરત કરવાની રકમ"
"Shipping Amount","શિપિંગ રકમ"
"Shipping Refund","શિપિંગ રિફંડ"
"Order Grand Total","ઓર્ડર ગ્રાન્ડ કુલ"
"Adjustment Refund","એડજસ્ટમેન્ટ રિફંડ"
